0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
-8.410252193469769e-08,-8.410252193469542e-08,1.1132026025474457e-07,1.0109112769631668e-08,1.0109112769629411e-08,1.1132026025474682e-07,-1.1132026025474682e-07,-1.0109112769631668e-08,-1.0109112769633924e-08,-1.1132026025475246e-07,8.410252193469769e-08,8.410252193469994e-08,-1.113202602547457e-07,1.113202602547536e-07,8.410252193469542e-08,-1.010911276963054e-08,1.0109112769631668e-08,-8.410252193469655e-08,8.410252193469769e-08,-1.0109112769632796e-08,1.0109112769633924e-08,-8.410252193469881e-08,-1.1132026025474909e-07,1.1132026025474682e-07
4.8649730930670286e-08,-4.864973093066239e-08,4.8791505777095973e-08,-7.787820634849103e-08,7.787820634849103e-08,-4.879150577710048e-08,-4.8791505777098223e-08,7.787820634849103e-08,-7.787820634849554e-08,4.8791505777095973e-08,-4.864973093066465e-08,4.864973093067254e-08,1.6234233582279881e-07,1.6234233582279881e-07,5.948673320323129e-10,1.0248588022913848e-08,1.0248588022911592e-08,5.948673320323129e-10,5.948673320323129e-10,1.0248588022910463e-08,1.0248588022913848e-08,5.948673320323129e-10,1.623423358227943e-07,1.623423358227943e-07
5.948673320323129e-10,5.948673320345691e-10,1.623423358227943e-07,1.024858802291272e-08,1.0248588022910463e-08,1.6234233582279204e-07,1.6234233582279654e-07,1.0248588022910463e-08,1.0248588022909335e-08,1.6234233582279204e-07,5.948673320368254e-10,5.948673320345691e-10,4.879150577710048e-08,-4.879150577709372e-08,4.8649730930666905e-08,-7.787820634848878e-08,7.787820634848652e-08,-4.8649730930666905e-08,-4.8649730930666905e-08,7.787820634848652e-08,-7.787820634849103e-08,4.864973093066465e-08,-4.879150577709372e-08,4.879150577709372e-08
8.515527262144718e-08,-8.515527262144493e-08,-1.8166918586883395e-07,7.792020044530822e-08,-7.79202004453071e-08,1.8166918586883282e-07,1.816691858688351e-07,-7.792020044530483e-08,7.792020044530483e-08,-1.8166918586883282e-07,-8.51552726214438e-08,8.515527262144944e-08,1.2954753198111787e-07,1.2954753198111562e-07,-3.237274253788538e-08,-7.242173493252802e-09,-7.242173493252802e-09,-3.237274253788087e-08,-3.2372742537883125e-08,-7.2421734932505465e-09,-7.242173493247162e-09,-3.2372742537883125e-08,1.2954753198111337e-07,1.2954753198111337e-07
3.237274253788087e-08,3.237274253788538e-08,-1.2954753198111562e-07,7.242173493249418e-09,7.242173493247162e-09,-1.2954753198111562e-07,-1.2954753198111337e-07,7.242173493244906e-09,7.242173493244906e-09,-1.2954753198111787e-07,3.2372742537883125e-08,3.237274253788538e-08,1.816691858688351e-07,-1.8166918586882943e-07,-8.515527262144718e-08,-7.79202004453071e-08,7.79202004453037e-08,8.515527262144493e-08,8.515527262144493e-08,7.792020044530146e-08,-7.792020044530483e-08,-8.515527262144944e-08,-1.8166918586883395e-07,1.8166918586883282e-07
-1.3373169973900828e-07,1.3373169973900942e-07,1.3293013941305415e-07,-1.1192534330381897e-10,1.1192534330043465e-10,-1.3293013941306093e-07,-1.3293013941305643e-07,1.1192534330043465e-10,-1.1192534330607518e-10,1.3293013941305415e-07,1.3373169973901167e-07,-1.3373169973900603e-07,4.873788834500864e-08,4.873788834500864e-08,4.924757341940266e-08,-7.443795316448576e-09,-7.443795316448576e-09,4.92475734194004e-08,4.92475734194004e-08,-7.443795316448576e-09,-7.4437953164463205e-09,4.92475734194004e-08,4.873788834500864e-08,4.873788834500639e-08
4.9247573419404914e-08,4.924757341940717e-08,4.8737888345004136e-08,-7.443795316448576e-09,-7.443795316450833e-09,4.873788834500864e-08,4.873788834500639e-08,-7.443795316448576e-09,-7.4437953164530885e-09,4.873788834500639e-08,4.924757341940717e-08,4.924757341940943e-08,1.3293013941305643e-07,-1.3293013941305304e-07,-1.3373169973900942e-07,-1.1192534330381897e-10,1.1192534330043465e-10,1.3373169973900942e-07,1.3373169973900717e-07,1.1192534330381897e-10,-1.1192534330381897e-10,-1.3373169973900942e-07,-1.329301394130519e-07,1.3293013941305643e-07
-1.571111505675846e-08,1.5711115056760715e-08,-8.958531915271546e-08,-9.455032938493155e-08,9.455032938492704e-08,8.95853191527132e-08,-8.95853191527132e-08,-9.455032938493155e-08,9.455032938492704e-08,8.95853191527132e-08,-1.5711115056760715e-08,1.5711115056760715e-08,-8.958531915271207e-08,-8.958531915271207e-08,-1.5711115056760715e-08,-9.45503293849293e-08,-9.45503293849293e-08,-1.5711115056760715e-08,1.5711115056756205e-08,9.455032938492479e-08,9.455032938492704e-08,1.5711115056756205e-08,8.95853191527132e-08,8.958531915271094e-08
-7.130540718418086e-09,-7.1305407184135734e-09,-5.7942756863324024e-08,-3.2670294139766586e-08,-3.267029413976546e-08,-5.7942756863324024e-08,5.794275686332177e-08,3.267029413976772e-08,3.2670294139763204e-08,5.794275686331951e-08,7.130540718415829e-09,7.130540718418086e-09,-5.794275686332177e-08,5.7942756863326274e-08,-7.1305407184203414e-09,-3.2670294139763204e-08,3.267029413976546e-08,7.130540718415829e-09,-7.1305407184203414e-09,-3.267029413976772e-08,3.267029413976772e-08,7.130540718415829e-09,-5.794275686332177e-08,5.794275686331951e-08
-3.658636886265851e-08,3.6586368862660764e-08,1.1743997874779998e-07,9.899941493535796e-08,-9.899941493536247e-08,-1.1743997874780449e-07,1.1743997874780223e-07,9.899941493535796e-08,-9.899941493536247e-08,-1.1743997874780674e-07,-3.658636886265851e-08,3.6586368862660764e-08,-1.1743997874779885e-07,-1.174399787478011e-07,3.658636886265851e-08,-9.899941493536022e-08,-9.899941493536247e-08,3.658636886265625e-08,-3.6586368862660764e-08,9.899941493535796e-08,9.899941493536022e-08,-3.658636886266302e-08,1.1743997874780223e-07,1.1743997874779771e-07
-4.735609219795516e-08,-4.7356092197952904e-08,1.80920535421932e-07,-3.607072352167684e-08,-3.607072352167684e-08,1.8092053542193426e-07,-1.8092053542193654e-07,3.607072352167684e-08,3.6070723521672326e-08,-1.8092053542193315e-07,4.735609219795967e-08,4.735609219795742e-08,-1.8092053542192976e-07,1.8092053542193879e-07,4.735609219795516e-08,3.607072352167684e-08,-3.607072352167684e-08,-4.735609219795742e-08,4.7356092197952904e-08,3.607072352167458e-08,-3.607072352167458e-08,-4.735609219795742e-08,-1.8092053542193315e-07,1.80920535421932e-07
-8.709997076060032e-08,8.709997076060708e-08,-6.475984022446862e-08,-3.038182900820896e-08,3.0381829008206706e-08,6.47598402244675e-08,-6.475984022446862e-08,-3.0381829008213475e-08,3.0381829008206706e-08,6.475984022446976e-08,-8.709997076059918e-08,8.709997076060483e-08,-6.47598402244675e-08,-6.475984022446976e-08,-8.709997076060369e-08,-3.038182900820896e-08,-3.038182900820896e-08,-8.709997076060483e-08,8.709997076060032e-08,3.0381829008206706e-08,3.038182900820896e-08,8.709997076060032e-08,6.475984022447201e-08,6.475984022446525e-08
-9.547023324098015e-09,-9.547023324095758e-09,-1.3362293010002315e-07,3.0637644847373427e-09,3.0637644847373427e-09,-1.3362293010002315e-07,1.33622930100022e-07,-3.0637644847373427e-09,-3.063764484741855e-09,1.33622930100022e-07,9.547023324100271e-09,9.547023324100271e-09,-1.336229301000209e-07,1.3362293010002428e-07,-9.547023324098015e-09,3.0637644847373427e-09,-3.0637644847395988e-09,9.547023324093503e-09,-9.547023324100271e-09,3.0637644847373427e-09,-3.0637644847373427e-09,9.547023324098015e-09,-1.3362293010002315e-07,1.3362293010001976e-07
