,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
10,4.857226075426806e-07,1.2235044665618458e-06,-4.857226075426783e-07,1.2235044665618413e-06,-1.2235044665618458e-06,-4.857226075426749e-07,5.054351313784329e-07,-5.054351313784339e-07,-5.054351313784339e-07,-5.054351313784305e-07,1.2235044665618403e-06,-4.85722607542676e-07,-1.2235044665618436e-06,4.857226075426806e-07,5.054351313784305e-07,5.054351313784271e-07,-5.054351313784295e-07,5.054351313784295e-07,1.2235044665618413e-06,4.857226075426828e-07,4.857226075426794e-07,-1.2235044665618436e-06,-4.85722607542676e-07,-1.2235044665618458e-06
11,1.7790822495027806e-07,9.1422638040868e-07,1.7790822495027806e-07,-9.1422638040868e-07,9.142263804086766e-07,1.779082249502803e-07,-3.787581452576609e-07,-3.7875814525766205e-07,-3.7875814525766317e-07,3.7875814525766317e-07,9.142263804086766e-07,-1.779082249502758e-07,-9.142263804086777e-07,1.7790822495027806e-07,3.7875814525766205e-07,-3.7875814525766655e-07,3.7875814525766205e-07,3.787581452576609e-07,-9.1422638040868e-07,-1.7790822495027467e-07,-1.7790822495027353e-07,9.142263804086777e-07,-1.779082249502758e-07,-9.1422638040868e-07
12,6.99983691521927e-07,-5.245454456450134e-07,-6.999836915219224e-07,-5.245454456450168e-07,-5.245454456450134e-07,6.99983691521927e-07,6.36816401647944e-08,6.36816401647944e-08,-6.36816401647944e-08,6.368164016479327e-08,5.24545445645011e-07,6.999836915219248e-07,-5.24545445645011e-07,-6.999836915219202e-07,6.368164016479213e-08,-6.368164016479664e-08,-6.3681640164791e-08,-6.368164016479664e-08,5.24545445645011e-07,-6.999836915219214e-07,6.999836915219258e-07,5.24545445645011e-07,-6.999836915219224e-07,5.245454456450134e-07
13,-5.26593917185571e-07,-6.993031234872023e-07,-5.265939171855686e-07,6.993031234872046e-07,6.993031234872046e-07,5.265939171855732e-07,6.324960465950405e-08,-6.324960465950179e-08,6.324960465950405e-08,6.324960465950518e-08,6.993031234872023e-07,-5.26593917185572e-07,-6.993031234872046e-07,5.265939171855754e-07,-6.324960465950518e-08,-6.32496046595063e-08,-6.324960465950405e-08,6.324960465950292e-08,-6.99303123487209e-07,-5.265939171855698e-07,5.265939171855744e-07,-6.993031234872068e-07,5.265939171855754e-07,6.993031234872046e-07
14,5.091937575427096e-09,3.0588523912524323e-07,5.0919375754248405e-09,-3.0588523912523984e-07,9.52671155392416e-07,3.054838734461998e-07,6.394433850574298e-08,-4.864217893657599e-07,6.394433850574524e-08,4.864217893657611e-07,9.526711553924184e-07,-3.0548387344620317e-07,9.526711553924138e-07,-3.0548387344620767e-07,6.394433850574524e-08,4.864217893657645e-07,6.394433850574073e-08,-4.864217893657555e-07,9.52671155392416e-07,3.054838734461998e-07,5.091937575427096e-09,-3.0588523912524206e-07,5.091937575429353e-09,3.0588523912524323e-07
15,-3.0548387344620317e-07,-9.526711553924138e-07,3.054838734462009e-07,-9.526711553924116e-07,-3.0588523912524545e-07,-5.091937575429353e-09,4.864217893657599e-07,-6.394433850574524e-08,-4.864217893657611e-07,-6.394433850574749e-08,3.0588523912524434e-07,-5.091937575427096e-09,3.0588523912524206e-07,-5.0919375754316085e-09,-4.864217893657621e-07,-6.394433850573847e-08,4.864217893657599e-07,-6.394433850574298e-08,-3.0588523912524323e-07,-5.091937575429353e-09,3.054838734462009e-07,-9.526711553924116e-07,-3.054838734462043e-07,-9.526711553924138e-07
16,-2.038603434574895e-07,-1.1365410077871488e-06,-2.0386034345748837e-07,1.1365410077871478e-06,8.04557942605229e-07,5.328939802330616e-07,-4.5521925814162426e-08,4.868772832563337e-07,-4.5521925814162426e-08,-4.868772832563347e-07,8.045579426052312e-07,-5.328939802330695e-07,8.045579426052266e-07,-5.32893980233074e-07,-4.5521925814162426e-08,-4.868772832563325e-07,-4.552192581416468e-08,4.868772832563337e-07,8.04557942605229e-07,5.32893980233065e-07,-2.0386034345748726e-07,1.1365410077871488e-06,-2.038603434574895e-07,-1.1365410077871444e-06
17,5.32893980233065e-07,8.045579426052266e-07,-5.328939802330706e-07,8.0455794260523e-07,-1.1365410077871488e-06,-2.038603434574895e-07,4.868772832563347e-07,-4.5521925814161294e-08,-4.868772832563337e-07,-4.552192581416355e-08,1.1365410077871511e-06,-2.038603434574895e-07,1.1365410077871465e-06,-2.038603434574895e-07,-4.868772832563359e-07,-4.552192581415904e-08,4.868772832563325e-07,-4.5521925814161294e-08,-1.1365410077871465e-06,-2.038603434574895e-07,-5.328939802330695e-07,8.04557942605229e-07,5.32893980233065e-07,8.04557942605229e-07
18,3.0931166403649014e-07,8.349348415994867e-07,3.0931166403649014e-07,-8.349348415994845e-07,3.065971568180167e-07,-8.382447757675876e-07,-4.640214528936467e-08,-5.71917525235827e-10,-4.64021452893579e-08,5.719175252392113e-10,3.065971568180212e-07,8.382447757675842e-07,3.065971568180167e-07,8.38244775767582e-07,-4.6402145289362414e-08,5.719175252437238e-10,-4.640214528936467e-08,-5.71917525235827e-10,3.065971568180189e-07,-8.382447757675876e-07,3.0931166403649236e-07,-8.349348415994867e-07,3.0931166403649236e-07,8.349348415994891e-07
19,8.382447757675808e-07,-3.065971568180189e-07,-8.382447757675864e-07,-3.065971568180144e-07,-8.349348415994867e-07,-3.0931166403649686e-07,5.719175252380832e-10,4.6402145289362414e-08,-5.71917525236955e-10,4.6402145289362414e-08,8.349348415994891e-07,-3.0931166403649464e-07,8.349348415994845e-07,-3.0931166403649686e-07,-5.719175252346989e-10,4.6402145289366927e-08,5.719175252380832e-10,4.640214528936467e-08,-8.349348415994857e-07,-3.0931166403649464e-07,-8.382447757675842e-07,-3.065971568180167e-07,8.382447757675808e-07,-3.065971568180167e-07
